num_col,flux,volume,modele,ss_quart,commune,coord_x,coord_y,adresse,filling_level,hour_filling
V_0598,Verre,3,Aérien,Sans objet hors Montpellier,SAINT-DREZERY,779476.4304,6293430.4921,31 AV DU BERANGE,81.88888889,20260213132003
Ve_0099,Verre,4,Enterré,Sans objet hors Montpellier,CASTELNAU-LE-LEZ,773317.3061,6281664.4079,157 IMP DES DAHLIAS,,
BD_0416,Biodéchets,0.24,Abri_bac,Sans objet - Hors Montpellier,GRABELS,,,39 impasse de la valsière,,
TS_0345,Tri sélectif,3,Aérien,Sans objet hors Montpellier,COURNONSEC,757087.5266,6272605.2591,26 R TRAS DE LA GLEIZE,,
VRS_0020,Verre,3,Aérien,Aiguelongue,MONTPELLIER,770535.3181,6283355.6545,361 R JEAN FRANCOIS BRETON,,
TS_0828,Tri sélectif,5,Aérien,Gares,MONTPELLIER,771012.4589,6278852.8793,3 R PAGEZY,,
TSe_0120,Tri sélectif,3,Enterré,Comédie,MONTPELLIER,770922.3099,6279468.4797,4 PL PETRARQUE,,
BD_0282,Biodéchets,"0,24",Abri_bac,Sans objet - Hors Montpellier,PRADES-LE-LEZ,,,899 chemin du nouau,,
BD_0377,Biodéchets,0.24,Abri_bac,Sans objet - Hors Montpellier,LATTES,,,542 Chemin du Mas de Jaumes,,
V_0534,Verre,3,Aérien,Antigone,MONTPELLIER,772284.8831,6278983.384,326 AV JACQUES CARTIER,,
TS_0549,Tri sélectif,3,Aérien,Antigone,MONTPELLIER,771602.6084,6279114.1021,101 ALL DU NOUVEAU MONDE,,
OM_0029,Ordures ménagères,4,Aérien,Sans objet hors Montpellier,SAINT-JEAN-DE-VEDAS,768243.9026,6275548.0388,0 ROUTE DE LATTES,,
TS_0391,Tri sélectif,4,Aérien,Figuerolles,MONTPELLIER,,,3 PLACE FRANCOIS MAYNARD,,
V_0913,Verre,3,Aérien,La Martelle,MONTPELLIER,767046.0496,6279442.1349,94 R EURYDICE,94.77777778,20260213132003
BD_0215,Biodéchets,"0,24",Abri_bac,Les Aubes,MONTPELLIER,,,467 Rue de la Pépinière,,
V_0750,Verre,3,Aérien,Croix d'Argent,MONTPELLIER,769082.9311,6276799.9274,130 CHE DE POUTINGON,6.44444444,20260213132003
Ve_0100,Verre,4,Enterré,Sans objet hors Montpellier,CASTELNAU-LE-LEZ,773319.0765,6281659.8902,157 IMP DES DAHLIAS,,
V_0178,Verre,3,Aérien,Sans objet - Hors Montpellier,LE CRES,775737.7808,6284186.0477,AVENUE DES CEVENNES,,
TS_0228,Tri sélectif,4,Aérien,Croix d'Argent,MONTPELLIER,769210.0002,6275659.5988,25 ALLEE JEAN FRANCOIS LESUEUR,,
V_1134,Verre,3,Aérien,Lemasson,MONTPELLIER,770673.7689,6277486.6861,1349 AV DE MAURIN,,
BD_0335,Biodéchets,0.24,Abri_bac,Aiguelongue,MONTPELLIER,,,436 Avenue De La Justice De Castelnau,,
TS_0580,Tri sélectif,3,Aérien,Pas du Loup,MONTPELLIER,768285.8661,6278101.8477,161 R HEBERT,,
V_0853,Verre,3,Aérien,Sans objet hors Montpellier,SAINT-GEORGES-D'ORQUES,763266.9376,6278706.9421,4 R DE LA SYRAH,24.66666667,20260213132003
TS_0032,Tri sélectif,3,Aérien,Sans objet hors Montpellier,LATTES,772227.402,6273228.6863,87 ALL DE TOURNEFORT,,
OMe_0105,Ordures ménagères,5,Enterré,Sans objet - Hors Montpellier,CASTRIES,,,21 AVENUE DE LA PROMENADE,,
V_0310,Verre,3,Aérien,Gares,MONTPELLIER,771552.6868,6278766.3503,28 R DE BARCELONE,,
V_0983,Verre,3,Aérien,Croix d'Argent,MONTPELLIER,769791.088,6277521.8708,143 R LOUIS ARAGON,19.22222222,20260213132003
BD_0251,Biodéchets,"0,24",Abri_bac,Grammont,MONTPELLIER,775087.5014,6280137.172,Allée Florence Arthaud ( entrée châteaux ),,
Ve_0068,Verre,4,Enterré,Croix d'Argent,MONTPELLIER,769478.7909,6276306.2409,140 AV DE LA REGLISSE,,
BD_0339,Biodéchets,0.24,Abri_bac,Aiguelongue,MONTPELLIER,,,393 Avenue du Val de Montferrand,,
BD_0169,Biodéchets,"0,24",Abri_bac,Sans objet hors Montpellier,CASTRIES,,,21 Rue De La Pierre Bleue,,
V_0472,Verre,3,Aérien,Aiguerelles,MONTPELLIER,771636.006,6278321.0225,208 AV DU PONT TRINQUAT,98.66666667,20260213132003
TS_0087,Tri sélectif,3,Aérien,Alco,MONTPELLIER,767859.1475,6281193.1401,18 R DE LA FREGATE,,
TS_0058,Tri sélectif,3,Aérien,Aiguelongue,MONTPELLIER,771197.5346,6281300.7621,552 R DE MONTASINOS,,
Ve_0044,Verre,3,Enterré,Centre Historique,MONTPELLIER,770536.8414,6279276.0699,2 R VIEN,,
V_1061,Verre,3,Aérien,Millénaire,MONTPELLIER,773867.0532,6280456.7351,1611 R DE LA VIEILLE POSTE,20.11111111,20260213132003
TSe_0007,Tri sélectif,5,Enterré,Sans objet hors Montpellier,VENDARGUES,778744.0815,6285084.9153,5 R BOBY LAPOINTE,,
BD_0084,Biodéchets,"0,24",Abri_bac,Sans objet hors Montpellier,JACOU,773491.2313,6285071.6293,2 RUE DE L HOTEL DE VILLE,,
V_0214,Verre,3,Aérien,Sans objet hors Montpellier,GRABELS,766240.9054,6283263.3096,705 ACH ANCIEN CHEM DE MONTPELLIER,34.11111111,20260213132003
V_0990,Verre,3,Aérien,Lemasson,MONTPELLIER,770170.2891,6277599.8151,6 R GAUCELIN DE LA GARDE,7.33333333,20260213132003
V_0274,Verre,3,Aérien,Hôpitaux-Facultés,MONTPELLIER,767543.2848,6282360.3398,104 R DE LA GALERA,15.44444444,20260213132003
OMe_0026,Ordures ménagères,5,Enterré,Sans objet hors Montpellier,VENDARGUES,778707.4967,6285202.7122,1 R CHARLES TRENET,,
TS_0534,Tri sélectif,4,Aérien,Sans objet hors Montpellier,SAINT-JEAN-DE-VEDAS,768682.8693,6275391.821,503 RUE THEOPHRASTE RENAUDOT,,
V_0620,Verre,3,Aérien,Grammont,MONTPELLIER,775083.4325,6280127.3052,261 ALL MANITAS DE PLATA,21.55555556,20260213132003
OM_0165,Ordures ménagères,3,Aérien,La Paillade,MONTPELLIER,,,21 RUE DES PLANETES,,
BD_0076,Biodéchets,"0,24",Abri_bac,Sans objet hors Montpellier,RESTINCLIERES,783433.4916,6291594.756,la maison des petits pas,,
BD_0467,Biodéchets,0.24,Abri_bac,Sans objet - Hors Montpellier,CASTELNAU-LE-LEZ,,,2 place du forum,,
